,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
19,2.0417066480149515e-05,1.0,0.10224869102239609,0.9846000075340271,0.5,1,1
22,0.00011182401794940233,1.0,0.08896677941083908,0.9842000007629395,0.6339556724267468,1,1
23,8.464987331535667e-05,1.0,0.08851484209299088,0.9842000007629395,0.6339556724267468,1,1
24,7.101598021108657e-05,1.0,0.08738071471452713,0.9842000007629395,0.6339556724267468,1,1
25,4.6399298298638314e-05,1.0,0.086772620677948,0.9846000075340271,0.6339556724267468,1,1
26,4.0382186853094026e-05,1.0,0.08688011765480042,0.9847999811172485,0.6339556724267468,1,1
27,3.733738776645623e-05,1.0,0.08750298619270325,0.9847000241279602,0.6339556724267468,1,1
28,3.960552567150444e-05,1.0,0.08802315592765808,0.9851999878883362,0.6339556724267468,1,1
29,2.725071863096673e-05,1.0,0.08755876123905182,0.9848999977111816,0.6339556724267468,1,1
30,2.269205651828088e-05,1.0,0.08808961510658264,0.9850000143051147,0.6339556724267468,1,1
31,2.3367176254396327e-05,1.0,0.0885489284992218,0.9851999878883362,0.6339556724267468,1,1
32,1.863625402620528e-05,1.0,0.0883559063076973,0.9857000112533569,0.6339556724267468,1,1
33,1.6939759007073008e-05,1.0,0.08851655572652817,0.9855999946594238,0.6339556724267468,1,1
34,1.5880848877714016e-05,1.0,0.08879696577787399,0.9851999878883362,0.6339556724267468,1,1
35,1.370677364320727e-05,1.0,0.08940082788467407,0.9850000143051147,0.6339556724267468,1,1
36,1.1064209502364974e-05,1.0,0.08943680673837662,0.9853000044822693,0.6339556724267468,1,1
37,1.2217327821417712e-05,1.0,0.09009290486574173,0.9848999977111816,0.6339556724267468,1,1
38,9.896655683405697e-06,1.0,0.09045813232660294,0.9850000143051147,0.6339556724267468,1,1
39,8.075448931776918e-06,1.0,0.09080440551042557,0.9850000143051147,0.6339556724267468,1,1
43,0.00017200710135512054,1.0,0.08548995107412338,0.9840999841690063,0.7382719759579264,1,1
44,0.00013661387492902577,1.0,0.0856059119105339,0.9839000105857849,0.7382719759579264,1,1
45,0.00010347958595957607,1.0,0.08409057557582855,0.984499990940094,0.7382719759579264,1,1
46,9.229451097780839e-05,1.0,0.084736168384552,0.984499990940094,0.7382719759579264,1,1
47,7.16027498128824e-05,1.0,0.08518007397651672,0.9846000075340271,0.7382719759579264,1,1
48,7.905178790679201e-05,1.0,0.08641648292541504,0.9842000007629395,0.7382719759579264,1,1
49,5.927509846515022e-05,1.0,0.08601570874452591,0.9847999811172485,0.7382719759579264,1,1
50,5.055418296251446e-05,1.0,0.08667466789484024,0.984499990940094,0.7382719759579264,1,1
51,4.56106208730489e-05,1.0,0.08707483857870102,0.9846000075340271,0.7382719759579264,1,1
52,4.218824324198067e-05,1.0,0.08704287558794022,0.9847999811172485,0.7382719759579264,1,1
53,3.5297176509629935e-05,1.0,0.08798137307167053,0.9847000241279602,0.7382719759579264,1,1
54,3.2722298783482984e-05,1.0,0.08843181282281876,0.9842000007629395,0.7382719759579264,1,1
55,2.7826299628941342e-05,1.0,0.08863013237714767,0.9843999743461609,0.7382719759579264,1,1
56,2.4653303626109846e-05,1.0,0.08905094861984253,0.9847999811172485,0.7382719759579264,1,1
