,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
15,0.19044169783592224,0.9731333255767822,0.21990197896957397,0.9638000130653381,1.8782870022539446e-05,4,0
16,0.19081449508666992,0.9728500247001648,0.23370490968227386,0.9602000117301941,2.2539444027047334e-05,4,0
19,0.18294890224933624,0.9749000072479248,0.2224929928779602,0.9617000222206116,2.6296018031555223e-05,4,0
36,0.16231068968772888,0.9765166640281677,0.21917538344860077,0.9585999846458435,0.6006874530428249,4,0
50,0.1593647301197052,0.977066695690155,0.19337858259677887,0.965499997138977,0.7084635612321563,4,0
61,0.15686093270778656,0.9772499799728394,0.21901115775108337,0.9589999914169312,0.7087565740045079,4,0
78,0.14828529953956604,0.9783833622932434,0.22244106233119965,0.9574000239372253,0.7087603305785124,4,0
97,0.14695186913013458,0.9786666631698608,0.20707327127456665,0.9577999711036682,0.7340495867768595,4,0
119,0.14509648084640503,0.9781000018119812,0.18745526671409607,0.965499997138977,0.7469120961682946,4,0
138,0.142860546708107,0.9781500101089478,0.22868500649929047,0.9544000029563904,0.7550788880540946,4,0
143,0.14502859115600586,0.9784500002861023,0.1849515438079834,0.9667999744415283,0.7567543200601052,4,0
191,0.1422341763973236,0.9787833094596863,0.2059510499238968,0.9602000117301941,0.760221637866266,4,0
5,0.2497880905866623,0.9692000150680542,0.2910515069961548,0.9545999765396118,0.0,5,0
7,0.23137742280960083,0.9702500104904175,0.262724906206131,0.9575999975204468,3.756574004507889e-06,5,0
11,0.2102193832397461,0.9715166687965393,0.32917264103889465,0.9315000176429749,7.513148009015778e-06,5,0
17,0.1855510026216507,0.9735000133514404,0.24632321298122406,0.9531000256538391,1.1269722013523667e-05,5,0
36,0.16540493071079254,0.9755833148956299,0.23230890929698944,0.9539999961853027,0.04149135987978963,5,0
53,0.15511910617351532,0.977066695690155,0.22968825697898865,0.9570000171661377,0.7185762584522916,5,0
72,0.15118621289730072,0.9776333570480347,0.22279897332191467,0.9556000232696533,0.7353643876784373,5,0
95,0.14720004796981812,0.9779333472251892,0.1873319149017334,0.96670001745224,0.740694966190834,5,0
113,0.14446721971035004,0.9777833223342896,0.19466029107570648,0.9624000191688538,0.7460969196093163,5,0
131,0.14346808195114136,0.9783999919891357,0.20032402873039246,0.960099995136261,0.7544515401953419,5,0
156,0.14278635382652283,0.9782833456993103,0.20951491594314575,0.9574999809265137,0.7590984222389181,5,0
176,0.13399912416934967,0.9793833494186401,0.19371172785758972,0.9606999754905701,0.7627084898572501,5,0
38,0.0001806389627745375,1.0,0.07251133769750595,0.9843999743461609,0.0,1,1
39,0.0001255774695891887,1.0,0.07285971939563751,0.9850999712944031,0.0,1,1
48,6.646206747973338e-05,1.0,0.07619763165712357,0.9847000241279602,0.6522990232907588,1,1
49,5.0797876610886306e-05,1.0,0.075837142765522,0.9847999811172485,0.6522990232907588,1,1
50,4.564483242575079e-05,1.0,0.07644829154014587,0.9850000143051147,0.6522990232907588,1,1
51,4.38389070041012e-05,1.0,0.07707791775465012,0.9847999811172485,0.6522990232907588,1,1
52,3.5933560866396874e-05,1.0,0.07737487554550171,0.9847000241279602,0.6522990232907588,1,1
53,2.891272379201837e-05,1.0,0.07744375616312027,0.984499990940094,0.6522990232907588,1,1
54,2.9390259442152455e-05,1.0,0.07789912074804306,0.9846000075340271,0.6522990232907588,1,1
55,2.6585101295495406e-05,1.0,0.0783010795712471,0.9848999977111816,0.6522990232907588,1,1
56,2.3545548174297437e-05,1.0,0.07845047861337662,0.9850999712944031,0.6522990232907588,1,1
65,0.0013933978043496609,1.0,0.07327822595834732,0.9824000000953674,0.8166679188580015,1,1
66,0.0011048719752579927,1.0,0.07391531020402908,0.9822999835014343,0.8166679188580015,1,1
67,0.0008941226988099515,1.0,0.07449086010456085,0.9821000099182129,0.8166679188580015,1,1
68,0.0007403143681585789,1.0,0.0758531242609024,0.982200026512146,0.8166679188580015,1,1
69,0.0005858241347596049,1.0,0.07727212458848953,0.982699990272522,0.8166679188580015,1,1
